7,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,2,2,2
2,2,2,2,2,10,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,2,2
2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2
2,2,2,2,10,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,0,2,2,2,2,2,2,2,2,2,10,2,2,2,2,2,2
2,2,2,2,18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,2,2,2,2,2,2,2,0,7,7,7,2,2,2,2,0,7,0,2,2,0,2,2,2,2,2,2
2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,7,7,7,7,7,7,2,2,2,2,7,7,7,7,7,18,18,18,18,18,18,18,18,18,18,2,2,2,2,2
2,2,2,2,18,58,22,22,18,30,24,38,35,18,22,22,55,18,8,7,7,7,7,7,7,2,0,8,7,7,7,7,7,18,22,22,63,22,22,58,22,22,18,2,2,2,2,2
2,2,2,2,18,23,23,22,21,22,22,22,22,21,22,23,23,18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,18,27,41,24,44,30,31,43,42,18,2,2,2,2,2
2,2,2,2,18,18,18,18,18,22,22,22,22,18,18,18,18,18,7,7,7,7,7,7,7,7,8,7,7,7,7,8,7,18,22,22,22,22,22,22,22,22,18,2,2,2,2,2
2,2,2,2,18,56,22,22,18,22,22,22,22,18,22,22,54,18,7,7,7,8,7,7,7,7,7,8,7,7,7,7,7,18,22,22,22,22,22,22,22,22,18,2,2,2,2,2
2,2,2,2,18,23,23,22,21,22,22,22,22,21,22,23,23,18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,18,18,18,22,18,18,18,18,18,18,2,2,2,2,2
2,2,2,2,18,18,18,18,18,18,22,22,18,18,18,18,18,18,89,89,89,89,89,89,89,89,89,89,89,89,7,7,7,7,7,7,89,76,7,7,7,7,18,2,2,2,2,2
2,2,2,2,18,89,89,89,7,7,7,7,7,7,7,7,7,7,89,18,18,18,18,18,18,18,18,18,18,89,7,7,7,8,7,7,89,7,7,89,89,89,18,2,2,2,2,2
2,2,2,2,18,85,18,89,7,8,7,7,7,7,7,8,7,7,89,18,25,24,41,41,24,26,34,42,18,89,7,7,7,7,7,7,89,7,7,89,18,85,18,2,2,2,2,2
0,0,0,0,18,57,18,89,7,7,7,7,7,7,7,7,7,7,89,57,23,23,22,23,23,69,23,23,57,89,7,7,7,7,7,7,89,7,7,89,18,57,18,0,0,0,0,0
6,6,6,6,6,89,89,89,89,89,89,89,89,89,89,89,89,89,89,18,22,22,69,22,22,22,22,22,18,89,89,89,89,89,89,89,89,89,89,89,89,89,6,6,6,6,6,6
6,6,6,6,6,89,89,89,89,89,89,89,89,89,89,89,89,89,89,18,23,23,22,23,23,63,23,23,18,89,89,89,89,89,89,89,89,89,89,89,89,89,6,6,6,6,6,6
0,0,0,0,18,57,18,89,7,7,7,89,7,7,7,7,7,7,89,18,22,69,22,22,22,22,22,22,18,89,7,7,7,8,7,89,7,7,7,89,18,57,18,0,0,0,0,0
2,2,2,2,18,85,18,89,7,7,7,89,7,7,8,7,7,7,89,18,23,23,22,22,22,63,23,23,18,89,7,7,7,7,7,89,7,7,7,89,18,85,18,2,2,2,2,2
2,2,2,2,18,89,89,89,7,7,7,89,7,7,7,7,7,7,89,18,18,18,18,22,22,18,18,18,18,89,7,7,7,7,7,89,7,8,7,89,89,89,18,2,2,2,2,2
2,2,2,2,18,7,7,7,7,7,7,89,89,89,89,89,89,89,89,89,89,89,18,85,85,18,89,89,89,89,89,89,89,89,89,89,7,7,7,7,7,7,18,2,2,2,2,2
2,2,2,2,18,7,8,7,7,7,7,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,7,7,7,7,7,89,79,7,7,7,8,7,18,2,2,2,2,2
